code	severity	auto	message	origin
`TIMELINE_EXPORT_VOLUME_POINTS_TOO_MANY`	warning	—	音量の変化の点が多すぎる部品があります。1つの部品に置けるのは60個までです。いらない点を外すか、部品を分けてください（**分けられる部品が無いときは**「音量の変化の点が多すぎる部品があります。1つの部品に置けるのは60個までです。いらない点を外してください」＝#831）	`ADR-0032` 追補・`11 §7.6.5`（点の数だけ式の項が増え、**点 95 個までは通り 96 個で FFmpeg が式を解析できなくなる**＝実測。渡してから落ちると「もう一度お試しください」しか出せないので**押す前に断る**・上限は `VOLUME_POINTS_MAX`。⚠️ **`#831`＝「分けてください」は読み上げには実行できない**〔読み上げは分けられない〕＝挙げた部品に分けられる種類が1つでもあるときだけ添える。`exportBlockedMessage` の Record には無く `volumePointsTooManyMessage(hasSplittable)` が締めを変える〔`lockedTrackMessage` と同じ流儀〕）
`TIMELINE_EXPORT_ASSET_UNREADABLE`	warning	—	素材のファイルを読めませんでした。そのままでは動画にその絵が出ません。素材を取り込み直すか、その部品を置き直してください	`#716` レビュー・`11 §7.6.5`（**プレビューでは開いた時点の表示先で写真が出たまま**なので、断らないと「見えていたものと違う動画」が成功として出る＝ADR-0026④。見た目未解決〔`TEMPLATE_UNRESOLVED`〕と同じ流儀）
`TIMELINE_EXPORT_VIDEO_FILE_MISSING`	warning	—	この動画で使っている動画のファイルが見つかりません。編集画面の知らせから「ファイルを選び直す」で入れ直すと、置いた場所・切り出す範囲・動き・字幕の紐づけはそのまま残ります	#1068・`11 §7.6.5`（**実フレームで描く動画**〔直接置き・差し込み口・立ち絵〕は代表フレームを要らないので `ASSET_UNREADABLE` の対象から**わざと外してある**＝混ぜると「実フレームで描けるのに代表フレームが作れないせいで永久に書き出せない」を作る。⚠️ **ここはファイルがあるかだけを見る**＝無ければコマを焼く段〔`stage_clip_frames`〕で**必ず落ちる**ので、保存先を聞いて走り出してから途中で止めない〔`06 §12.1`〕。⚠️ **調べられないときは断らない**〔`missingAssetFiles` は空を返す〕＝嘘の警告を出さない。⚠️ **壊れている動画はここでは判らない**〔開いてみるまで分からない〕＝そちらは書き出しの最中に Rust が断る。⚠️ **構造を保つ直し方を名指しする**＝#1101 で編集画面の知らせにも実写動画を載せ「ファイルを選び直す」へ行けるようにしたので、文言もそちらを指す〔#1019 ⑤〕）
`TIMELINE_EXPORT_AUDIO_UNREADABLE`	warning	書き出しを止める（押す前ではなく、始めてすぐ＝ディスクを読むので）	①（読み上げ）動画で使っている音を読み込めませんでした。そのままだとその部分は無音になります。その読み上げを選んで「声を作る」でもう一度作ってください ②（同梱の曲）…その部品を選んで「音」の「鳴らす音」で選び直してください ③（取り込んだ素材）…その素材の「ファイルを選び直す」から入れ直すか、その部品を消してください	#1064（⚠️ **絵は前から断っているのに音だけ黙って落ちていた**＝混ぜる側〔`timelineBgmRunInputs`〕が読めない音源を読み飛ばすので、**無音になった動画が「成功」として出る**〔ADR-0026④〕。⚠️ **音源の種類で次の行動が違う**〔PR #1066 レビュー〕＝「ファイルを選び直す」は**取り込んだ素材だけの導線**で、読み上げ・同梱の曲には無い＝1つの締めを書くと**実行できない行動**を勧めることになる。⚠️ **まだ作っていない読み上げは対象外**＝音源そのものを持たないので `audioSourcesOf` に出てこない。⚠️ **調べる前に断らない**＝書き出しの直前に音源をそろえてから見る〔#1061〕。⚠️ **保存先を聞く前**に見る〔絵の判定と同じ順〕）
`EXPORT_OTHER_RUNNING`	warning	—	ほかの動画を書き出しています。終わってから、もう一度お試しください	`ADR-0032`・`11 §7.6.5`（場面形式とタイムライン形式は一時ファイルの置き場を共有＝同時に走らせない）。⚠️ **相手が後片づけ中のときもこの文で受ける**（差分再監査 ℹ️）＝厳密には相手も走ってはいないが、**待つ相手が自分の外にある**点は同じで、次の行動も変わらない。到達も極めて狭い（相手の片づけ中に別形式を開いて書き出し画面まで行く）。自分の片づけ待ちだけを `EXPORT_CLEANUP_PENDING` に分けるのは、そちらが**成功のたびに必ず出る**＝主語のずれが毎回目に入るため
`EXPORT_CLEANUP_PENDING`	warning	—	前の書き出しの片づけをしています。終わると、また書き出せます	`ADR-0032` 決定22・`11 §7.6.5`（#843）＝**書き出しの終わり（成功・中止・失敗）は片づけより先に立つ**ので、片づけ（一時ファイルの削除＝フレーム数に比例）の間はボタンが戻っているのに締めが返っていない。⚠️ **`EXPORT_OTHER_RUNNING` を流用しない**＝走っている「ほかの動画」は無く、片づけているのは**自分の直前の回**（主語が実態と違う案内にしない）。⚠️ **押す前に無効化して理由を出す**（`06 §12.1`）＝押す前の理由と押したときの理由は同じ述語（`isOwnCleanupPending`）から採る。**両形式に同じ窓がある**ので同じ扱いにする（ADR-0026②）。⚠️ **「お試しください」と書かない**（差分再監査② 🟡2）＝この文は押そうとしたときだけでなく**書き出しが成功した直後にも必ず出る**（終わりの合図が締めの返却より先）。片づけるコマは尺×fps 個あるので、成功のたびに数秒「動画を書き出しました」の**上**に警告として並び、何も頼んでいない利用者が催促を読まされる＝**成功が失敗に見える**。だから**状態の文**にする（何が起きていて、いつまた押せるか）＝押したときの断りとしても成り立つ
`BAKE_BROKEN_RESULT`	error	—	作れませんでした。元の動画の中身に問題があるようです。作る範囲を狭めるか、元の動画を直してからお試しください	`#628`。焼き出した結果がスキーマに適合しないとき（**開けない動画を一覧に作らない**＝ADR-0032 決定15）
`EXPORT_BUSY_ASSET`	warning	—	書き出しが終わるまで、素材の追加や変更はできません。書き出しが終わってからお試しください	`#379`。**書き出し中は入力を固定**（読み取り中に素材が消えると、写真の抜けた動画が成功として出る）
`EXPORT_BUSY_BGM`	warning	—	書き出しが終わるまで、BGM は変更できません。書き出しが終わってからお試しください	同上
`EXPORT_BUSY_TEMPLATE`	warning	—	書き出しが終わるまで、見た目パターンは変更できません。書き出しが終わってからお試しください	同上
`TIMELINE_VOICE_FAILED`	error	—	声を作れませんでした。しばらくしてから、もう一度お試しください	`#633`。タイムライン形式で読み上げを作れなかったとき。⚠️ **場面形式の双子**（あちらは `NARRATION_SYNTH_FAILED`）
`TIMELINE_VOICE_SAVE_FAILED`	error	—	作った声を保存できませんでした。もう一度お試しください	`#633`。**作れたのに残せなかった**を分けて言う（作り直しの手間が違う）
`TIMELINE_VOICE_EXPORTING`	warning	—	いま動画を書き出しています。終わってから声を作ってください	`#633`・ADR-0032（走っている間は入力を固定）
`TIMELINE_VOICE_DURATION_UNKNOWN`	warning	—	声の長さを測れませんでした。部品の長さは手で合わせてください	`#633`。**次の行動を出す**（黙って仮の長さのままにしない）
`TIMELINE_OPEN_EXPORT_BUSY`	warning	—	いま動画を書き出しています。終わってから、別の動画を開いてください	ADR-0032（`11 §7.6.5`）。走っている間は入力を固定
`TIMELINE_OPEN_IMPORTING`	warning	—	いま素材を取り込んでいます。終わってから、別の動画を開いてください	取り込みの着地先が入れ替わるのを防ぐ（#762 と同型）
`TIMELINE_CREATE_IMPORTING`	warning	—	いま素材を取り込んでいます。終わってから、新しい動画を作ってください	同上
`TIMELINE_EXPORT_CANCELLED`	info	—	書き出しを中止しました。もう一度書き出せます	`#631`。**中止は失敗ではない**＝次の行動を添えて、やり直せることを言う
`EXPORT_CANCELLED`	info	—	書き出しを中止しました。もう一度「動画を保存」を押すと、やり直せます	#380・#1051 ③（場面形式）。⚠️ **タイムライン形式の `TIMELINE_EXPORT_CANCELLED` と別文**＝押すボタンの名前が画面で違うので、**その画面にあるボタンを名指す**（§2-5）。中止は失敗ではない
`TIMELINE_EXPORT_UNSUPPORTED`	fatal	—	この環境では動画を書き出せません。アプリから起動し直してお試しください	`#631`。ブラウザで開いた等（Tauri の外）
`VOLUME_POINTS_OVERRIDE`	info	—	音量の変化を置いている間は、その点が音量を決めます。一定の音量に戻すには「音量の変化をすべて外す」を押してください	`#512`。**効いていない設定を触らせたままにしない**（触っても変わらない、を作らない）
`IMPORT_BUSY`	warning	—	いま素材を取り込んでいます。終わってからもう一度お試しください	取り込みは1つずつ（着地先の取り違えを防ぐ）
`IMPORT_CANCELLED`	info	—	取り込みを中止しました。 N 件は入っています。残りは、もう一度「素材を追加」から入れてください	#1024 ③（**「やめられるか」が操作で割れていた**＝書き出しと声には中止があるのに、取り込みだけ打ち切る入口が無かった〔大きな動画を10件入れたら終わるまで待つしかない〕。仕組みは声の一括作成と同じ**世代番号**＝進めると走っているループが**次の1件へ進む前に降りる**。⚠️ **いま運んでいる1件は止まらない**〔IPC の往復は途中で切れない〕＝**入ったものは残す**〔§2-5＝途中まで入れた素材を黙って捨てない〕。⚠️ **中止は「失敗」ではない**ので、何件入ったかと**もう一度できること**を言う。⚠️ **0件のときは件数を言わない**〔「0件は入っています」は数えた結果が嘘に見える〕。⚠️ **両方の形式で出る**〔PR #1034 レビュー 🔴〕＝当初は場面形式にだけ中止があり、タイムライン編集では**押しても止まらなかった**。回し方を `runBulkImport` へ寄せて共有した）
`IMPORT_NO_PROJECT`	warning	—	先に動画を開いてください	素材は動画のフォルダへ入るので、置き場が決まっていないと取り込めない
`DROP_REJECTED`	warning	—	N件は取り込めない形式でした（〈名前〉）。写真・動画のファイルを落としてください。音楽は書き出しの「BGM」から選べます	#1026 ②（**落とせるようにした**ら、通らない形式も落ちてくる。⚠️ **黙って捨てない**＝落とした本人は全部入ったと思うので、増えていないことに気づけない〔§2-5〕。⚠️ **ふるいは「開く」の絞り込みと同じ一覧**〔`droppableExtensions`〕＝落とすときだけ通る形式を作らない〔ADR-0026②〕。⚠️ **音の行き先まで言う**＝場面形式は写真・動画だけ受けるので、音楽を落とした人が行き止まりにならない）
`IMPORT_TIMELINE_OPEN`	warning	—	この画面は、場面から作る動画の素材置き場です。タイムラインの動画へ入れるなら、その編集画面から取り込んでください	`ADR-0032`・#991（**タイムライン形式を開いている人**に `IMPORT_NO_PROJECT`〔「先に動画を開いてください」〕を出すと**嘘**になる〔開いているので〕。しかも**次の行動が違う**＝そちらの素材はその編集画面から取り込む。⚠️ **同じ画面の2か所へ出す**＝空状態の案内と「素材を追加」の押せない理由〔ホバー〕。片方だけ直すと、同じ状況に2通りの言い方が残る〔PR #1020 レビュー 🟡〕）
`IMPORT_BLOCKED_EXPORTING`	warning	—	いま動画を書き出しているので、取り込めませんでした。書き出しが終わってからもう一度お試しください	`#379`
`EXPORT_BLOCKED_IMPORTING`	warning	—	素材の取り込み中です。取り込みが終わってから書き出してください	`#379` の裏返し（**両方向を塞ぐ**＝片方だけだと順番によってすり抜ける）
`EXPORT_BLOCKED_VOICE_BUSY`	warning	—	声を作成中です。作成が終わってから書き出してください	作りかけの声が入った動画を出さない
`LEAVE_BLOCKED_EXPORTING`	warning	—	いま動画を書き出しています。終わってから画面を移ってください	ADR-0032（走っている間は入力を固定）
`ASSET_TOO_LARGE`	warning	—	①大きいファイルは「写真・動画を選ぶ」から取り込んでください ②もっと小さいファイルをお選びください	`#347`。**経路で言い分ける**＝①は別の取り込み方があるとき、②は無いとき（**同じ文で済ませない**）
`DUCK_MERGED`	info	—	セリフが多いため、BGM を下げる区間をつないで保存しました。セリフとセリフの間でも BGM が下がったままになります。気になる場合は「音の自動調整」の「どのくらい控えめにするか」を弱くするか、動画を分けてお試しください	ADR-0032 追補4（#257）。**まとめたことを知らせる**（黙って捨てると下げ忘れになる）
`DUPLICATE_FAILED`	error	—	動画を複製できませんでした。もう一度お試しください	`#755`
`BRAND_FONT_NOT_APPLIED`	warning	—	覚えている文字の形は、いまこのパソコンにありません。設定の「文字の形」で取り込み直すか、「会社の見た目」で選び直してください	`#929`（ADR-0036〔#351〕・ADR-0038〔#261〕）。**黙って既定の字体にしない**
`BRAND_LOGO_NOT_APPLIED`	warning	—	ロゴを取り込めませんでした。「よく使う素材」に置いてあるか確かめてください	ADR-0035/0036。ロゴの実体は素材ライブラリを指すだけなので、消えていると取り込めない
`BRAND_FONT_CLEARED`	info	—	この文字の形を外したので、会社の見た目の指定も外しました。設定の「会社の見た目」から選び直せます	ADR-0036。**連れて消えたものを知らせる**（黙って設定が変わったように見せない）
`BRAND_FONT_CLEAR_FAILED`	warning	—	この文字の形を外しましたが、会社の見た目の指定を外せませんでした。設定の「会社の見た目」から選び直してください	ADR-0036。**片方だけ済んだ**ことを言う（成功に見せない）
`TROUBLE_LOG_OPEN_FAILED`	warning	—	記録の場所を開けませんでした。もう一度お試しください	`#396`
`PROJECT_SAVE_WOULD_BREAK`	error	**書かずに断る**	この内容は保存していません（このまま保存すると、次に開けなくなるため）。取り消し（Ctrl+Z）で一つ前に戻すと保存できます	`#974`（`#416` の続き）。読み込みが拒否する形（型・必須の欠け）で保存しようとしたとき。⚠️ **書いてしまうと保存はできたのに次に開けない**（#959 と同じ形）＝書かなければ前に保存できていた内容が残る。⚠️ **「もう一度お試しください」と言わない**＝同じ内容を書き直しても同じ結果になる（押しても変わらないボタンを押させ続けない）。⚠️ **保存ボタンの文字も変える**（#982 レビュー）＝「保存できません（取り消して直す）」。**ふきだしを出さない画面**（ウィザード）では**ボタンの文字だけ**が利用者の見るものになるので、そこで「もう一度押す」と書くと押させ続けることになる。⚠️ **理由は文書と一緒に消す**（新規作成・読み込みで落とす）＝前の動画の理由が別の動画で出続けない。⚠️ **範囲違反は止めない**（読み込みが拒否しないので、止めると開ける動画を保存できなくする）
`PROJECT_OPEN_FAILED`	error	—	この動画を開けませんでした。もう一度お試しください	想定外の失敗の受け皿（読み込み側が理由を出せたときはそちらを優先＝**黙って何も出さない、を作らない**）
`PROJECT_DELETE_FAILED`	error	—	この動画を削除できませんでした。もう一度お試しください	#1026（⚠️ **画面に直に書いていた**＝名前の無い文は表との突き合わせ〔`uiMessageScan`〕の外に落ちる。語をそろえたときに**この文だけ検査に掛からなかった**ので、定数へ出して載せた）
`PROJECT_RENAME_FAILED`	error	—	名前を変更できませんでした。もう一度お試しください	#1051 ③。一覧の鉛筆からの改名が書けなかったとき。⚠️ **前の名前は残す**（書けないときは何も変えない）
`PROJECT_LIST_UNREADABLE`	error	—	保存した動画の一覧を読み込めませんでした。もう一度お試しください	#1051 ③。⚠️ **空の一覧と別**＝「1つも無い」と「読めなかった」を同じ見た目にしない（黙って「無い」と見せない）
`BRAND_LOGO_CLEAR_FAILED`	warning	—	会社の見た目のロゴを外せませんでした。会社の見た目から選び直してください	ADR-0036。**素材は外れたが、会社の見た目は消した素材を指したまま**＝片方だけ済んだことを言う。**その断りから直接そこへ行ける**（#1032＝行き先を言葉だけで示さない）
`BRAND_LOGO_LOOKUP_FAILED`	warning	—	会社の見た目のロゴが置き場に見つかりませんでした。設定の「会社の見た目」から選び直してください	ADR-0035/0036。**タイムライン形式の新規作成でロゴを持ち込むとき**（`BRAND_LOGO_NOT_APPLIED` と別＝見つからないのか、取り込めないのか）
`BRAND_LOGO_COPY_FAILED`	warning	—	会社の見た目のロゴを取り込めませんでした。設定の「会社の見た目」から選び直してください	同上（**見つかったが運べなかった**）
`BAKE_EMPTY_RANGE`	warning	作らせない	選んだ範囲に場面がありません。範囲を選び直してください	`ADR-0032` 決定17（#628）・#1051 ③。**場面が1つも入らない範囲では作らせない**（中身の無い動画を作らない）のを、**押す前に言う**
`BAKE_ESTIMATE_FAILED`	error	—	作る内容を確かめられませんでした。もう一度お試しください	ADR-0032 決定15（#635）。焼き出しは**押した瞬間に作らない2段階**なので、その1段目が失敗したとき
`READING_DICT_PREVIEW_FAILED`	error	—	聞き比べに失敗しました。もう一度お試しください	ADR-0037（#350）。**アクセントは聞き比べて選ぶ**ので、聞けないと選べない
`READING_DICT_EXPORT_FAILED`	error	—	書き出せませんでした。保存先を確かめてもう一度お試しください	ADR-0037（#350）。辞書の書き出し
`READING_DICT_IMPORT_FAILED`	error	—	読み込めませんでした。ファイルを確かめてもう一度お試しください	ADR-0037（#350）。辞書の読み込み
`VOICE_PREVIEW_FAILED`	error	—	声の確認に失敗しました。もう一度お試しください	設定画面の声の試聴（ADR-0005）
`WIZARD_TITLE_REQUIRED`	warning	—	動画のテーマ・タイトルを入力してください	ADR-0011（`videoKind=general`）。**入れないと先へ進めない**ので、その場で言う
`WIZARD_COMPANY_REQUIRED`	warning	—	会社名を入力してください	ADR-0011（`videoKind=recruit`）。同上
`USER_TEMPLATE_SAVE_FAILED`	error	—	見た目パターンを保存できませんでした。もう一度お試しください	ADR-0017。⚠️ **`USER_TEMPLATE_SAVE_INVALID`（内容が不適合）と別**＝書けなかったのか、書ける内容でなかったのか
`USER_TEMPLATE_DELETE_FAILED`	error	—	見た目パターンを削除できませんでした。もう一度お試しください	ADR-0017
`USER_TEMPLATE_NOT_SELECTED`	warning	—	編集する見た目パターンが選ばれていません。一覧から選んでください	#1051 ③。見た目パターンの編集画面へ直行したときの受け皿（白い画面を出さない）
`ASSET_IMAGE_UNREADABLE`	warning	—	画像を読み込めませんでした。別の画像をお選びください	素材の取り込み（`13 §5`）
`LIBRARY_LIST_UNREADABLE`	error	—	よく使う素材の一覧を読めませんでした。アプリを開き直してから、もう一度お試しください	ADR-0035（#260）。⚠️ **`MANIFEST_UNREADABLE` と別**＝あちらは目録そのもの、こちらは一覧を出す操作。⚠️ **行が見えている画面だけ一文多い**（#1051 ③）＝素材の置き場（よく使う素材の一覧）は**一度読めたあとに読めなくなる**と古い行をそのまま見せる（外したはずの行が残る）ので、そこでは「よく使う素材の一覧を読めませんでした。ここに出ているものは古いかもしれません。アプリを開き直してから、もう一度お試しください」と一文添える。ロゴを選ぶだけの場（会社の見た目）には古い行が見えないので添えない
`LIBRARY_ASSET_MISSING`	warning	—	この素材は見つかりませんでした。一覧を開き直してください	ADR-0035（#260）
`USER_FONT_LIST_UNREADABLE`	error	—	取り込んだ文字の形の一覧を読めませんでした。アプリを開き直してから、もう一度お試しください	`ADR-0038`（#261）・#1051 ③。設定の「文字の形」で**目録そのものが読めない**とき。⚠️ **書き出しの門（`USER_FONT_UNREADABLE`）と別**＝あちらは「この動画が使っている字体を調べられない」で書き出しを止めるもの、こちらは**一覧を出す操作**（`LIBRARY_LIST_UNREADABLE` と同じ流儀）
`FRAME_CAPTURE_NO_VIDEO`	warning	—	先に動画を取り込んでから、切り出したい時間を選んでください	`#349`。**順番を言う**（押せるのに何も起きない、を作らない）
`BRAND_KIT_UNREADABLE`	warning	—	会社の見た目を読めませんでした。中身を失わないよう、変えられません。アプリを開き直してください	ADR-0036（#351）。⚠️ **読めないものを空で上書きしない**（目録の扱いと同じ流儀＝`11 §2.1`）
`BGM_FILE_UNREADABLE`	warning	—	BGMを読み込めませんでした。別のファイルでお試しください	`13 §8`
`BGM_PLAY_FAILED`	warning	—	BGMを再生できませんでした。別のBGMを選ぶか、もう一度お試しください	#1051 ③・#392。**仕上がり確認の再生**で鳴らせなかったとき。⚠️ **黙って無音にしない**（§2-5）。⚠️ **停止・曲切替で中断された `AbortError` は正常系**＝偽の失敗を出さない
`NARRATION_PLAY_FAILED`	warning	—	声を再生できませんでした。声を作り直すか、もう一度お試しください	#1051 ③・#452 P2。`BGM_PLAY_FAILED` と同じ流儀（裏で失敗させない）
`AI_RESPONSE_UNREADABLE`	error	再生成/手動	AIからの提案を読み取れませんでした。もう一度お試しください	`12 §9.3`。⚠️ **`AI_RESPONSE_INVALID` と別**＝あちらは形が合わない、こちらは読み取り自体ができない（プロバイダ側）
